Date,Ward,No_confirmed_cases,
19-Apr-20,Sinhagad Road,9,
19-Apr-20,Dhankawadi-Sahakarnagar,33,
19-Apr-20,Kondhwa-Yewalewadi,8,
19-Apr-20,Shivajinagar-Ghole Road,49,
19-Apr-20,Kasba-Vishrambagwada,79,
19-Apr-20,Bhawani Peth,149,
19-Apr-20,Bibwewadi,23,
19-Apr-20,Dhole Patil,83,
19-Apr-20,Wanawadi-Ramtekdi,31,
19-Apr-20,Hadapsar-Mundhawa,24,
19-Apr-20,Yerwada-Kalas-Dhanori,60,
19-Apr-20,Nagar Road-Wadgaonsheri,10,
20-Apr-20,Aundh-Baner,2,
20-Apr-20,Kothrud-Bavdhan,1,
20-Apr-20,Warje-Karvenagar,8,
20-Apr-20,Sinhagad Road,8,
20-Apr-20,Dhankawadi-Sahakarnagar,33,
20-Apr-20,Kondhwa-Yewalewadi,10,
20-Apr-20,Shivajinagar-Ghole Road,59,
20-Apr-20,Kasba-Vishrambagwada,93,
20-Apr-20,Bhawani Peth,157,
20-Apr-20,Bibwewadi,23,
20-Apr-20,Dhole Patil,96,
20-Apr-20,Wanawadi-Ramtekdi,30,
20-Apr-20,Hadapsar-Mundhawa,24,
20-Apr-20,Yerwada-Kalas-Dhanori,67,
20-Apr-20,Nagar Road-Wadgaonsheri,13,
21-Apr-20,Aundh-Baner,2,
21-Apr-20,Kothrud-Bavdhan,1,
21-Apr-20,Warje-Karvenagar,8,
21-Apr-20,Sinhagad Road,8,
21-Apr-20,Dhankawadi-Sahakarnagar,38,
21-Apr-20,Kondhwa-Yewalewadi,10,
21-Apr-20,Shivajinagar-Ghole Road,59,
21-Apr-20,Kasba-Vishrambagwada,102,
21-Apr-20,Bhawani Peth,168,
21-Apr-20,Bibwewadi,24,
21-Apr-20,Dhole Patil,97,
21-Apr-20,Wanawadi-Ramtekdi,32,
21-Apr-20,Hadapsar-Mundhawa,26,
21-Apr-20,Yerwada-Kalas-Dhanori,68,
21-Apr-20,Nagar Road-Wadgaonsheri,16,
22-Apr-20,Aundh-Baner,2,
22-Apr-20,Kothrud-Bavdhan,1,
22-Apr-20,Warje-Karvenagar,9,
22-Apr-20,Sinhagad Road,9,
22-Apr-20,Dhankawadi-Sahakarnagar,43,
22-Apr-20,Kondhwa-Yewalewadi,12,
22-Apr-20,Shivajinagar-Ghole Road,77,
22-Apr-20,Kasba-Vishrambagwada,111,
22-Apr-20,Bhawani Peth,171,
22-Apr-20,Bibwewadi,24,
22-Apr-20,Dhole Patil,110,
22-Apr-20,Wanawadi-Ramtekdi,34,
22-Apr-20,Hadapsar-Mundhawa,26,
