Date,Ward,No_confirmed_cases,
27-Jun-20,Bhawani Peth,1292,
27-Jun-20,Bibwewadi,913,
27-Jun-20,Dhole Patil,2075,
27-Jun-20,Wanawadi-Ramtekdi,1083,
27-Jun-20,Hadapsar-Mundhawa,891,
27-Jun-20,Yerwada-Kalas-Dhanori,1371,
27-Jun-20,Nagar Road-Wadgaonsheri,547,
28-Jun-20,Aundh-Baner,501,
28-Jun-20,Kothrud-Bavdhan,473,
28-Jun-20,Warje-Karvenagar,432,
28-Jun-20,Sinhagad Road,1003,
28-Jun-20,Dhankawadi-Sahakarnagar,788,
28-Jun-20,Kondhwa-Yewalewadi,457,
28-Jun-20,Shivajinagar-Ghole Road,1326,
28-Jun-20,Kasba-Vishrambagwada,1874,
28-Jun-20,Bhawani Peth,1337,
28-Jun-20,Bibwewadi,950,
28-Jun-20,Dhole Patil,2145,
28-Jun-20,Wanawadi-Ramtekdi,1098,
28-Jun-20,Hadapsar-Mundhawa,937,
28-Jun-20,Yerwada-Kalas-Dhanori,1383,
28-Jun-20,Nagar Road-Wadgaonsheri,568,
29-Jun-20,Aundh-Baner,531,
29-Jun-20,Kothrud-Bavdhan,506,
29-Jun-20,Warje-Karvenagar,470,
29-Jun-20,Sinhagad Road,1044,
29-Jun-20,Dhankawadi-Sahakarnagar,808,
29-Jun-20,Kondhwa-Yewalewadi,489,
29-Jun-20,Shivajinagar-Ghole Road,1375,
29-Jun-20,Kasba-Vishrambagwada,1954,
29-Jun-20,Bhawani Peth,1346,
29-Jun-20,Bibwewadi,980,
29-Jun-20,Dhole Patil,2219,
29-Jun-20,Wanawadi-Ramtekdi,1124,
29-Jun-20,Hadapsar-Mundhawa,997,
29-Jun-20,Yerwada-Kalas-Dhanori,1404,
29-Jun-20,Nagar Road-Wadgaonsheri,588,
30-Jun-20,Aundh-Baner,538,
30-Jun-20,Kothrud-Bavdhan,520,
30-Jun-20,Warje-Karvenagar,501,
30-Jun-20,Sinhagad Road,1087,
30-Jun-20,Dhankawadi-Sahakarnagar,848,
30-Jun-20,Kondhwa-Yewalewadi,505,
30-Jun-20,Shivajinagar-Ghole Road,1389,
30-Jun-20,Kasba-Vishrambagwada,2006,
30-Jun-20,Bhawani Peth,1371,
30-Jun-20,Bibwewadi,1027,
30-Jun-20,Dhole Patil,2243,
30-Jun-20,Wanawadi-Ramtekdi,1134,
30-Jun-20,Hadapsar-Mundhawa,1039,
30-Jun-20,Yerwada-Kalas-Dhanori,1436,
30-Jun-20,Nagar Road-Wadgaonsheri,611,
01-Jul-20,Aundh-Baner,578,
01-Jul-20,Kothrud-Bavdhan,579,
01-Jul-20,Warje-Karvenagar,608,
01-Jul-20,Sinhagad Road,1144,
01-Jul-20,Dhankawadi-Sahakarnagar,875,
01-Jul-20,Kondhwa-Yewalewadi,552,
01-Jul-20,Shivajinagar-Ghole Road,1418,
01-Jul-20,Kasba-Vishrambagwada,2073,
01-Jul-20,Bhawani Peth,1421,
01-Jul-20,Bibwewadi,1063,
01-Jul-20,Dhole Patil,2288,
01-Jul-20,Wanawadi-Ramtekdi,1164,
01-Jul-20,Hadapsar-Mundhawa,1128,
01-Jul-20,Yerwada-Kalas-Dhanori,1463,
01-Jul-20,Nagar Road-Wadgaonsheri,640,
02-Jul-20,Aundh-Baner,618,
02-Jul-20,Kothrud-Bavdhan,622,
02-Jul-20,Warje-Karvenagar,655,
02-Jul-20,Sinhagad Road,1177,
02-Jul-20,Dhankawadi-Sahakarnagar,921,
02-Jul-20,Kondhwa-Yewalewadi,602,
02-Jul-20,Shivajinagar-Ghole Road,1455,
02-Jul-20,Kasba-Vishrambagwada,2147,
02-Jul-20,Bhawani Peth,1456,
02-Jul-20,Bibwewadi,1127,
02-Jul-20,Dhole Patil,2404,
02-Jul-20,Wanawadi-Ramtekdi,1198,
02-Jul-20,Hadapsar-Mundhawa,1229,
02-Jul-20,Yerwada-Kalas-Dhanori,1530,
02-Jul-20,Nagar Road-Wadgaonsheri,692,
03-Jul-20,Aundh-Baner,647,
03-Jul-20,Kothrud-Bavdhan,673,
03-Jul-20,Warje-Karvenagar,747,
03-Jul-20,Sinhagad Road,1225,
03-Jul-20,Dhankawadi-Sahakarnagar,952,
03-Jul-20,Kondhwa-Yewalewadi,641,
03-Jul-20,Shivajinagar-Ghole Road,1493,
03-Jul-20,Kasba-Vishrambagwada,2211,
03-Jul-20,Bhawani Peth,1473,
03-Jul-20,Bibwewadi,1161,
03-Jul-20,Dhole Patil,2510,
03-Jul-20,Wanawadi-Ramtekdi,1233,
03-Jul-20,Hadapsar-Mundhawa,1303,
03-Jul-20,Yerwada-Kalas-Dhanori,1550,
03-Jul-20,Nagar Road-Wadgaonsheri,719,
04-Jul-20,Aundh-Baner,680,
04-Jul-20,Kothrud-Bavdhan,706,
04-Jul-20,Warje-Karvenagar,818,
04-Jul-20,Sinhagad Road,1253,
04-Jul-20,Dhankawadi-Sahakarnagar,1010,
04-Jul-20,Kondhwa-Yewalewadi,694,
04-Jul-20,Shivajinagar-Ghole Road,1523,
04-Jul-20,Kasba-Vishrambagwada,2278,
04-Jul-20,Bhawani Peth,1500,
04-Jul-20,Bibwewadi,1219,
04-Jul-20,Dhole Patil,2560,
04-Jul-20,Wanawadi-Ramtekdi,1300,
04-Jul-20,Hadapsar-Mundhawa,1407,
04-Jul-20,Yerwada-Kalas-Dhanori,1584,
04-Jul-20,Nagar Road-Wadgaonsheri,740,
05-Jul-20,Aundh-Baner,717,
05-Jul-20,Kothrud-Bavdhan,760,
05-Jul-20,Warje-Karvenagar,871,
05-Jul-20,Sinhagad Road,1317,
05-Jul-20,Dhankawadi-Sahakarnagar,1071,
05-Jul-20,Kondhwa-Yewalewadi,733,
05-Jul-20,Shivajinagar-Ghole Road,1563,
05-Jul-20,Kasba-Vishrambagwada,2339,
05-Jul-20,Bhawani Peth,1519,
05-Jul-20,Bibwewadi,1264,
05-Jul-20,Dhole Patil,2613,
05-Jul-20,Wanawadi-Ramtekdi,1328,
05-Jul-20,Hadapsar-Mundhawa,1516,
05-Jul-20,Yerwada-Kalas-Dhanori,1620,
05-Jul-20,Nagar Road-Wadgaonsheri,766,
06-Jul-20,Aundh-Baner,760,
06-Jul-20,Kothrud-Bavdhan,802,
06-Jul-20,Warje-Karvenagar,923,
06-Jul-20,Sinhagad Road,1335,
06-Jul-20,Dhankawadi-Sahakarnagar,1110,
06-Jul-20,Kondhwa-Yewalewadi,771,
06-Jul-20,Shivajinagar-Ghole Road,1593,
06-Jul-20,Kasba-Vishrambagwada,2368,
06-Jul-20,Bhawani Peth,1577,
06-Jul-20,Bibwewadi,1325,
06-Jul-20,Dhole Patil,2683,
06-Jul-20,Wanawadi-Ramtekdi,1361,
06-Jul-20,Hadapsar-Mundhawa,1623,
06-Jul-20,Yerwada-Kalas-Dhanori,1690,
06-Jul-20,Nagar Road-Wadgaonsheri,815,
07-Jul-20,Aundh-Baner,770,
07-Jul-20,Kothrud-Bavdhan,870,
07-Jul-20,Warje-Karvenagar,997,
07-Jul-20,Sinhagad Road,1401,
07-Jul-20,Dhankawadi-Sahakarnagar,1171,
07-Jul-20,Kondhwa-Yewalewadi,788,
07-Jul-20,Shivajinagar-Ghole Road,1608,
07-Jul-20,Kasba-Vishrambagwada,2442,
07-Jul-20,Bhawani Peth,1611,
07-Jul-20,Bibwewadi,1362,
07-Jul-20,Dhole Patil,2714,
07-Jul-20,Wanawadi-Ramtekdi,1380,
07-Jul-20,Hadapsar-Mundhawa,1657,
07-Jul-20,Yerwada-Kalas-Dhanori,1709,
07-Jul-20,Nagar Road-Wadgaonsheri,830,
08-Jul-20,Aundh-Baner,812,
08-Jul-20,Kothrud-Bavdhan,917,
08-Jul-20,Warje-Karvenagar,1081,
08-Jul-20,Sinhagad Road,1477,
08-Jul-20,Dhankawadi-Sahakarnagar,1278,
08-Jul-20,Kondhwa-Yewalewadi,843,
08-Jul-20,Shivajinagar-Ghole Road,1644,
08-Jul-20,Kasba-Vishrambagwada,2508,
08-Jul-20,Bhawani Peth,1654,
08-Jul-20,Bibwewadi,1423,
08-Jul-20,Dhole Patil,2787,
08-Jul-20,Wanawadi-Ramtekdi,1422,
08-Jul-20,Hadapsar-Mundhawa,1812,
08-Jul-20,Yerwada-Kalas-Dhanori,1761,
08-Jul-20,Nagar Road-Wadgaonsheri,880,
09-Jul-20,Aundh-Baner,865,
09-Jul-20,Kothrud-Bavdhan,976,
09-Jul-20,Warje-Karvenagar,1173,
09-Jul-20,Sinhagad Road,1542,
09-Jul-20,Dhankawadi-Sahakarnagar,1346,
09-Jul-20,Kondhwa-Yewalewadi,908,
09-Jul-20,Shivajinagar-Ghole Road,1677,
09-Jul-20,Kasba-Vishrambagwada,2582,
09-Jul-20,Bhawani Peth,1708,
09-Jul-20,Bibwewadi,1469,
09-Jul-20,Dhole Patil,2820,
09-Jul-20,Wanawadi-Ramtekdi,1447,
09-Jul-20,Hadapsar-Mundhawa,1889,
09-Jul-20,Yerwada-Kalas-Dhanori,1835,
09-Jul-20,Nagar Road-Wadgaonsheri,927,
10-Jul-20,Aundh-Baner,881,
10-Jul-20,Kothrud-Bavdhan,1051,
10-Jul-20,Warje-Karvenagar,1234,
10-Jul-20,Sinhagad Road,1588,
10-Jul-20,Dhankawadi-Sahakarnagar,1407,
10-Jul-20,Kondhwa-Yewalewadi,951,
10-Jul-20,Shivajinagar-Ghole Road,1706,
10-Jul-20,Kasba-Vishrambagwada,2642,
10-Jul-20,Bhawani Peth,1765,
10-Jul-20,Bibwewadi,1529,
10-Jul-20,Dhole Patil,2838,
10-Jul-20,Wanawadi-Ramtekdi,1498,
10-Jul-20,Hadapsar-Mundhawa,1943,
10-Jul-20,Yerwada-Kalas-Dhanori,1919,
10-Jul-20,Nagar Road-Wadgaonsheri,977,
11-Jul-20,Aundh-Baner,893,
11-Jul-20,Kothrud-Bavdhan,1147,
11-Jul-20,Warje-Karvenagar,1308,
11-Jul-20,Sinhagad Road,1628,
11-Jul-20,Dhankawadi-Sahakarnagar,1450,
11-Jul-20,Kondhwa-Yewalewadi,984,
11-Jul-20,Shivajinagar-Ghole Road,1757,
11-Jul-20,Kasba-Vishrambagwada,2708,
11-Jul-20,Bhawani Peth,1796,
11-Jul-20,Bibwewadi,1587,
11-Jul-20,Dhole Patil,2857,
11-Jul-20,Wanawadi-Ramtekdi,1532,
11-Jul-20,Hadapsar-Mundhawa,2014,
11-Jul-20,Yerwada-Kalas-Dhanori,1957,
11-Jul-20,Nagar Road-Wadgaonsheri,1029,
12-Jul-20,Aundh-Baner,910,
12-Jul-20,Kothrud-Bavdhan,1188,
12-Jul-20,Warje-Karvenagar,1370,
12-Jul-20,Sinhagad Road,1654,
12-Jul-20,Dhankawadi-Sahakarnagar,1484,
12-Jul-20,Kondhwa-Yewalewadi,1005,
12-Jul-20,Shivajinagar-Ghole Road,1789,
12-Jul-20,Kasba-Vishrambagwada,2743,
12-Jul-20,Bhawani Peth,1839,
12-Jul-20,Bibwewadi,1637,
12-Jul-20,Dhole Patil,2866,
12-Jul-20,Wanawadi-Ramtekdi,1555,
12-Jul-20,Hadapsar-Mundhawa,2077,
12-Jul-20,Yerwada-Kalas-Dhanori,2015,
12-Jul-20,Nagar Road-Wadgaonsheri,1051,
13-Jul-20,Aundh-Baner,936,
13-Jul-20,Kothrud-Bavdhan,1217,
13-Jul-20,Warje-Karvenagar,1450,
13-Jul-20,Sinhagad Road,1757,
13-Jul-20,Dhankawadi-Sahakarnagar,1561,
13-Jul-20,Kondhwa-Yewalewadi,1063,
13-Jul-20,Shivajinagar-Ghole Road,1822,
13-Jul-20,Kasba-Vishrambagwada,2776,
13-Jul-20,Bhawani Peth,1862,
13-Jul-20,Bibwewadi,1678,
13-Jul-20,Dhole Patil,2890,
13-Jul-20,Wanawadi-Ramtekdi,1585,
13-Jul-20,Hadapsar-Mundhawa,2142,
13-Jul-20,Yerwada-Kalas-Dhanori,2051,
13-Jul-20,Nagar Road-Wadgaonsheri,1095,
14-Jul-20,Aundh-Baner,951,
14-Jul-20,Kothrud-Bavdhan,1312,
14-Jul-20,Warje-Karvenagar,1566,
14-Jul-20,Sinhagad Road,1811,
14-Jul-20,Dhankawadi-Sahakarnagar,1679,
14-Jul-20,Kondhwa-Yewalewadi,1083,
14-Jul-20,Shivajinagar-Ghole Road,1838,
14-Jul-20,Kasba-Vishrambagwada,2829,
14-Jul-20,Bhawani Peth,1893,
14-Jul-20,Bibwewadi,1703,
14-Jul-20,Dhole Patil,2913,
14-Jul-20,Wanawadi-Ramtekdi,1592,
14-Jul-20,Hadapsar-Mundhawa,2184,
14-Jul-20,Yerwada-Kalas-Dhanori,2091,
14-Jul-20,Nagar Road-Wadgaonsheri,1121,
15-Jul-20,Aundh-Baner,972,
15-Jul-20,Kothrud-Bavdhan,1398,
15-Jul-20,Warje-Karvenagar,1661,
15-Jul-20,Sinhagad Road,1858,
15-Jul-20,Dhankawadi-Sahakarnagar,1776,
15-Jul-20,Kondhwa-Yewalewadi,1156,
15-Jul-20,Shivajinagar-Ghole Road,1886,
15-Jul-20,Kasba-Vishrambagwada,2859,
15-Jul-20,Bhawani Peth,1935,
15-Jul-20,Bibwewadi,1736,
15-Jul-20,Dhole Patil,2938,
15-Jul-20,Wanawadi-Ramtekdi,1635,
15-Jul-20,Hadapsar-Mundhawa,2266,
15-Jul-20,Yerwada-Kalas-Dhanori,2149,
15-Jul-20,Nagar Road-Wadgaonsheri,1217,
16-Jul-20,Aundh-Baner,1014,
16-Jul-20,Kothrud-Bavdhan,1483,
16-Jul-20,Warje-Karvenagar,1791,
16-Jul-20,Sinhagad Road,1955,
16-Jul-20,Dhankawadi-Sahakarnagar,1895,
16-Jul-20,Kondhwa-Yewalewadi,1223,
16-Jul-20,Shivajinagar-Ghole Road,1908,
16-Jul-20,Kasba-Vishrambagwada,2927,
16-Jul-20,Bhawani Peth,2018,
16-Jul-20,Bibwewadi,1817,
16-Jul-20,Dhole Patil,2981,
16-Jul-20,Wanawadi-Ramtekdi,1680,
16-Jul-20,Hadapsar-Mundhawa,2381,
16-Jul-20,Yerwada-Kalas-Dhanori,2209,
16-Jul-20,Nagar Road-Wadgaonsheri,1314,
17-Jul-20,Aundh-Baner,1023,
17-Jul-20,Kothrud-Bavdhan,1567,
17-Jul-20,Warje-Karvenagar,1853,
17-Jul-20,Sinhagad Road,2034,
17-Jul-20,Dhankawadi-Sahakarnagar,1961,
17-Jul-20,Kondhwa-Yewalewadi,1262,
17-Jul-20,Shivajinagar-Ghole Road,1944,
17-Jul-20,Kasba-Vishrambagwada,2991,
17-Jul-20,Bhawani Peth,2043,
17-Jul-20,Bibwewadi,1860,
17-Jul-20,Dhole Patil,3014,
17-Jul-20,Wanawadi-Ramtekdi,1730,
17-Jul-20,Hadapsar-Mundhawa,2452,
17-Jul-20,Yerwada-Kalas-Dhanori,2271,
17-Jul-20,Nagar Road-Wadgaonsheri,1356,
18-Jul-20,Aundh-Baner,1040,
18-Jul-20,Kothrud-Bavdhan,1609,
18-Jul-20,Warje-Karvenagar,1957,
18-Jul-20,Sinhagad Road,2081,
18-Jul-20,Dhankawadi-Sahakarnagar,2064,
18-Jul-20,Kondhwa-Yewalewadi,1354,
18-Jul-20,Shivajinagar-Ghole Road,1978,
18-Jul-20,Kasba-Vishrambagwada,3037,
18-Jul-20,Bhawani Peth,2111,
18-Jul-20,Bibwewadi,1955,
18-Jul-20,Dhole Patil,3069,
18-Jul-20,Wanawadi-Ramtekdi,1778,
18-Jul-20,Hadapsar-Mundhawa,2532,
18-Jul-20,Yerwada-Kalas-Dhanori,2341,
18-Jul-20,Nagar Road-Wadgaonsheri,1409,
19-Jul-20,Aundh-Baner,1059,
19-Jul-20,Kothrud-Bavdhan,1745,
19-Jul-20,Warje-Karvenagar,2027,
19-Jul-20,Sinhagad Road,2147,
19-Jul-20,Dhankawadi-Sahakarnagar,2175,
19-Jul-20,Kondhwa-Yewalewadi,1394,
19-Jul-20,Shivajinagar-Ghole Road,1990,
19-Jul-20,Kasba-Vishrambagwada,3439,
19-Jul-20,Bhawani Peth,2227,
19-Jul-20,Bibwewadi,2155,
19-Jul-20,Dhole Patil,3106,
19-Jul-20,Wanawadi-Ramtekdi,1833,
19-Jul-20,Hadapsar-Mundhawa,2598,
19-Jul-20,Yerwada-Kalas-Dhanori,2369,
19-Jul-20,Nagar Road-Wadgaonsheri,1620,
20-Jul-20,Aundh-Baner,1095,
20-Jul-20,Kothrud-Bavdhan,1800,
20-Jul-20,Warje-Karvenagar,2147,
20-Jul-20,Sinhagad Road,2323,
20-Jul-20,Dhankawadi-Sahakarnagar,2285,
20-Jul-20,Kondhwa-Yewalewadi,1440,
20-Jul-20,Shivajinagar-Ghole Road,2024,
20-Jul-20,Kasba-Vishrambagwada,3592,
20-Jul-20,Bhawani Peth,2327,
20-Jul-20,Bibwewadi,2237,
20-Jul-20,Dhole Patil,3305,
20-Jul-20,Wanawadi-Ramtekdi,1930,
20-Jul-20,Hadapsar-Mundhawa,2865,
20-Jul-20,Yerwada-Kalas-Dhanori,2464,
20-Jul-20,Nagar Road-Wadgaonsheri,1676,
21-Jul-20,Aundh-Baner,1362,
21-Jul-20,Kothrud-Bavdhan,1955,
21-Jul-20,Warje-Karvenagar,2237,
21-Jul-20,Sinhagad Road,2381,
21-Jul-20,Dhankawadi-Sahakarnagar,2404,
21-Jul-20,Kondhwa-Yewalewadi,1486,
21-Jul-20,Shivajinagar-Ghole Road,2065,
21-Jul-20,Kasba-Vishrambagwada,3669,
21-Jul-20,Bhawani Peth,2396,
21-Jul-20,Bibwewadi,2449,
21-Jul-20,Dhole Patil,3361,
21-Jul-20,Wanawadi-Ramtekdi,1984,
21-Jul-20,Hadapsar-Mundhawa,3007,
21-Jul-20,Yerwada-Kalas-Dhanori,2520,
21-Jul-20,Nagar Road-Wadgaonsheri,1724,
22-Jul-2020,Aundh-Baner,1418,
22-Jul-2020,Kothrud-Bavdhan,2059,
22-Jul-2020,Warje-Karvenagar,2339,
22-Jul-2020,Sinhagad Road,2476,
22-Jul-2020,Dhankawadi-Sahakarnagar,2540,
22-Jul-2020,Kondhwa-Yewalewadi,1558,
22-Jul-2020,Shivajinagar-Ghole Road,2119,
22-Jul-2020,Kasba-Vishrambagwada,3769,
22-Jul-2020,Bhawani Peth,2457,
22-Jul-2020,Bibwewadi,2544,
22-Jul-2020,Dhole Patil,3425,
22-Jul-2020,Wanawadi-Ramtekdi,2037,
22-Jul-2020,Hadapsar-Mundhawa,3159,
22-Jul-2020,Yerwada-Kalas-Dhanori,2602,
22-Jul-2020,Nagar Road-Wadgaonsheri,1839,
23-Jul-2020,Aundh-Baner,1473,
23-Jul-2020,Kothrud-Bavdhan,2163,
23-Jul-2020,Warje-Karvenagar,2442,
23-Jul-2020,Sinhagad Road,2571,
23-Jul-2020,Dhankawadi-Sahakarnagar,2676,
23-Jul-2020,Kondhwa-Yewalewadi,1630,
23-Jul-2020,Shivajinagar-Ghole Road,2174,
23-Jul-2020,Kasba-Vishrambagwada,3869,
23-Jul-2020,Bhawani Peth,2518,
23-Jul-2020,Bibwewadi,2639,
23-Jul-2020,Dhole Patil,3490,
23-Jul-2020,Wanawadi-Ramtekdi,2089,
23-Jul-2020,Hadapsar-Mundhawa,3310,
23-Jul-2020,Yerwada-Kalas-Dhanori,2685,
23-Jul-2020,Nagar Road-Wadgaonsheri,1954,
24-Jul-2020,Aundh-Baner,1529,
24-Jul-2020,Kothrud-Bavdhan,2267,
24-Jul-2020,Warje-Karvenagar,2544,
24-Jul-2020,Sinhagad Road,2666,
24-Jul-2020,Dhankawadi-Sahakarnagar,2813,
24-Jul-2020,Kondhwa-Yewalewadi,1702,
24-Jul-2020,Shivajinagar-Ghole Road,2228,
24-Jul-2020,Kasba-Vishrambagwada,3969,
24-Jul-2020,Bhawani Peth,2579,
24-Jul-2020,Bibwewadi,2733,
24-Jul-2020,Dhole Patil,3554,
24-Jul-2020,Wanawadi-Ramtekdi,2142,
24-Jul-2020,Hadapsar-Mundhawa,3462,
24-Jul-2020,Yerwada-Kalas-Dhanori,2767,
24-Jul-2020,Nagar Road-Wadgaonsheri,2070,
25-Jul-2020,Aundh-Baner,1584,
25-Jul-2020,Kothrud-Bavdhan,2371,
25-Jul-2020,Warje-Karvenagar,2647,
25-Jul-2020,Sinhagad Road,2761,
25-Jul-2020,Dhankawadi-Sahakarnagar,2949,
25-Jul-2020,Kondhwa-Yewalewadi,1774,
25-Jul-2020,Shivajinagar-Ghole Road,2282,
25-Jul-2020,Kasba-Vishrambagwada,4069,
25-Jul-2020,Bhawani Peth,2639,
25-Jul-2020,Bibwewadi,2828,
25-Jul-2020,Dhole Patil,3619,
25-Jul-2020,Wanawadi-Ramtekdi,2194,
25-Jul-2020,Hadapsar-Mundhawa,3614,
25-Jul-2020,Yerwada-Kalas-Dhanori,2850,
25-Jul-2020,Nagar Road-Wadgaonsheri,2185,
26-Jul-2020,Aundh-Baner,1640,
26-Jul-2020,Kothrud-Bavdhan,2475,
26-Jul-2020,Warje-Karvenagar,2749,
26-Jul-2020,Sinhagad Road,2856,
26-Jul-2020,Dhankawadi-Sahakarnagar,3085,
26-Jul-2020,Kondhwa-Yewalewadi,1847,
26-Jul-2020,Shivajinagar-Ghole Road,2336,
26-Jul-2020,Kasba-Vishrambagwada,4169,
26-Jul-2020,Bhawani Peth,2700,
26-Jul-2020,Bibwewadi,2923,
26-Jul-2020,Dhole Patil,3683,
26-Jul-2020,Wanawadi-Ramtekdi,2247,
26-Jul-2020,Hadapsar-Mundhawa,3766,
26-Jul-2020,Yerwada-Kalas-Dhanori,2932,
26-Jul-2020,Nagar Road-Wadgaonsheri,2300,
27-Jul-2020,Aundh-Baner,1695,
27-Jul-2020,Kothrud-Bavdhan,2579,
27-Jul-2020,Warje-Karvenagar,2852,
27-Jul-2020,Sinhagad Road,2951,
27-Jul-2020,Dhankawadi-Sahakarnagar,3221,
27-Jul-2020,Kondhwa-Yewalewadi,1919,
27-Jul-2020,Shivajinagar-Ghole Road,2391,
27-Jul-2020,Kasba-Vishrambagwada,4269,
27-Jul-2020,Bhawani Peth,2761,
27-Jul-2020,Bibwewadi,3018,
27-Jul-2020,Dhole Patil,3748,
27-Jul-2020,Wanawadi-Ramtekdi,2300,
27-Jul-2020,Hadapsar-Mundhawa,3917,
27-Jul-2020,Yerwada-Kalas-Dhanori,3014,
27-Jul-2020,Nagar Road-Wadgaonsheri,2415,
28-Jul-2020,Aundh-Baner,1751,
28-Jul-2020,Kothrud-Bavdhan,2683,
28-Jul-2020,Warje-Karvenagar,2954,
28-Jul-2020,Sinhagad Road,3046,
28-Jul-2020,Dhankawadi-Sahakarnagar,3358,
28-Jul-2020,Kondhwa-Yewalewadi,1991,
28-Jul-2020,Shivajinagar-Ghole Road,2445,
28-Jul-2020,Kasba-Vishrambagwada,4369,
28-Jul-2020,Bhawani Peth,2822,
28-Jul-2020,Bibwewadi,3112,
28-Jul-2020,Dhole Patil,3812,
28-Jul-2020,Wanawadi-Ramtekdi,2352,
28-Jul-2020,Hadapsar-Mundhawa,4069,
28-Jul-2020,Yerwada-Kalas-Dhanori,3097,
28-Jul-2020,Nagar Road-Wadgaonsheri,2530,
29-Jul-2020,Aundh-Baner,1806,
29-Jul-2020,Kothrud-Bavdhan,2787,
29-Jul-2020,Warje-Karvenagar,3057,
29-Jul-2020,Sinhagad Road,3141,
29-Jul-2020,Dhankawadi-Sahakarnagar,3494,
29-Jul-2020,Kondhwa-Yewalewadi,2063,
29-Jul-2020,Shivajinagar-Ghole Road,2499,
29-Jul-2020,Kasba-Vishrambagwada,4469,
29-Jul-2020,Bhawani Peth,2883,
29-Jul-2020,Bibwewadi,3207,
29-Jul-2020,Dhole Patil,3877,
29-Jul-2020,Wanawadi-Ramtekdi,2405,
29-Jul-2020,Hadapsar-Mundhawa,4221,
29-Jul-2020,Yerwada-Kalas-Dhanori,3179,
29-Jul-2020,Nagar Road-Wadgaonsheri,2645,
30-Jul-2020,Aundh-Baner,1862,
30-Jul-2020,Kothrud-Bavdhan,2892,
30-Jul-2020,Warje-Karvenagar,3159,
30-Jul-2020,Sinhagad Road,3236,
30-Jul-2020,Dhankawadi-Sahakarnagar,3630,
30-Jul-2020,Kondhwa-Yewalewadi,2135,
30-Jul-2020,Shivajinagar-Ghole Road,2554,
30-Jul-2020,Kasba-Vishrambagwada,4570,
30-Jul-2020,Bhawani Peth,2944,
30-Jul-2020,Bibwewadi,3302,
30-Jul-2020,Dhole Patil,3941,
30-Jul-2020,Wanawadi-Ramtekdi,2458,
30-Jul-2020,Hadapsar-Mundhawa,4373,
30-Jul-2020,Yerwada-Kalas-Dhanori,3262,
30-Jul-2020,Nagar Road-Wadgaonsheri,2761,
31-Jul-2020,Aundh-Baner,1918,
31-Jul-2020,Kothrud-Bavdhan,2996,
31-Jul-2020,Warje-Karvenagar,3261,
31-Jul-2020,Sinhagad Road,3330,
31-Jul-2020,Dhankawadi-Sahakarnagar,3766,
31-Jul-2020,Kondhwa-Yewalewadi,2207,
31-Jul-2020,Shivajinagar-Ghole Road,2608,
31-Jul-2020,Kasba-Vishrambagwada,4670,
31-Jul-2020,Bhawani Peth,3004,
31-Jul-2020,Bibwewadi,3397,
31-Jul-2020,Dhole Patil,4005,
31-Jul-2020,Wanawadi-Ramtekdi,2510,
31-Jul-2020,Hadapsar-Mundhawa,4524,
31-Jul-2020,Yerwada-Kalas-Dhanori,3344,
31-Jul-2020,Nagar Road-Wadgaonsheri,2876,
1-Aug-2020,Aundh-Baner,1973,
1-Aug-2020,Kothrud-Bavdhan,3100,
1-Aug-2020,Warje-Karvenagar,3364,
1-Aug-2020,Sinhagad Road,3425,
1-Aug-2020,Dhankawadi-Sahakarnagar,3902,
1-Aug-2020,Kondhwa-Yewalewadi,2279,
1-Aug-2020,Shivajinagar-Ghole Road,2662,
1-Aug-2020,Kasba-Vishrambagwada,4770,
1-Aug-2020,Bhawani Peth,3065,
1-Aug-2020,Bibwewadi,3492,
1-Aug-2020,Dhole Patil,4070,
1-Aug-2020,Wanawadi-Ramtekdi,2563,
1-Aug-2020,Hadapsar-Mundhawa,4676,
1-Aug-2020,Yerwada-Kalas-Dhanori,3426,
1-Aug-2020,Nagar Road-Wadgaonsheri,2991,
2-Aug-2020,Aundh-Baner,2029,
2-Aug-2020,Kothrud-Bavdhan,3204,
2-Aug-2020,Warje-Karvenagar,3466,
2-Aug-2020,Sinhagad Road,3520,
2-Aug-2020,Dhankawadi-Sahakarnagar,4039,
2-Aug-2020,Kondhwa-Yewalewadi,2351,
2-Aug-2020,Shivajinagar-Ghole Road,2716,
2-Aug-2020,Kasba-Vishrambagwada,4870,
2-Aug-2020,Bhawani Peth,3126,
2-Aug-2020,Bibwewadi,3586,
2-Aug-2020,Dhole Patil,4134,
2-Aug-2020,Wanawadi-Ramtekdi,2615,
2-Aug-2020,Hadapsar-Mundhawa,4828,
2-Aug-2020,Yerwada-Kalas-Dhanori,3509,
2-Aug-2020,Nagar Road-Wadgaonsheri,3106,
3-Aug-2020,Aundh-Baner,2084,
3-Aug-2020,Kothrud-Bavdhan,3308,
3-Aug-2020,Warje-Karvenagar,3569,
3-Aug-2020,Sinhagad Road,3615,
3-Aug-2020,Dhankawadi-Sahakarnagar,4175,
3-Aug-2020,Kondhwa-Yewalewadi,2423,
3-Aug-2020,Shivajinagar-Ghole Road,2771,
3-Aug-2020,Kasba-Vishrambagwada,4970,
3-Aug-2020,Bhawani Peth,3187,
3-Aug-2020,Bibwewadi,3681,
3-Aug-2020,Dhole Patil,4199,
3-Aug-2020,Wanawadi-Ramtekdi,2668,
3-Aug-2020,Hadapsar-Mundhawa,4979,
